number,igsn,traintext,iSampleMaterial
488703,GRO001149,GRO | 11FRA21-1 - Veg | | Vegetation growing near river bank | under Hwy 16 Fitzwilliam Bridge | Fraser River at Fitzwilliam,mat:organicmaterial
488739,HRV002AB9,HRV | 124208 | | Mineral>Chamosite | Mineral Group: Chlorite; Number of pieces: 1; Quality: reference; Crystal size: fine;  ,mat:mineral
488742,HRV002C61,HRV | 124591 | | Mineral>Fluorite | Number of pieces: 1; Quality: very high; Crystal size: very coarse; xl | Minerva #1 Mine,mat:mineral
488765,HRV002ST9,HRV | 134467 | | Mineral>Albite | Mineral Group: Feldspar; Number of pieces: 1;  Crystal size: coarse;   | Songo Pond Quarry,mat:mineral
488809,HRV000DR9,HRV | 85482 | | Mineral>GarnetGroup | Mineral Group: Garnet; Number of pieces: 1;  black; Crystal size: medium;  | Mt. Somma,mat:mineral
488824,HRV0032X1,HRV | 92187 | | Mineral>Beryl | Variety: morganite; Number of pieces: 1; Quality: reference; tabular; Crystal size: coarse; ,mat:mineral
488834,IEACM00EJ,IEACM | Em67 c3/f5 b | | Empingham | Tooth | Mortality_ morbidity and population diversity in Early Medieval northern Europe,mat:biogenicnonorganicmaterial
488837,IEACM0144,IEACM | WASP-42d | | dentine. from wasperton site | Wasperton | Tooth | Sr-Pb-O isotope analysis of archaeological material.,mat:biogenicnonorganicmaterial
488859,ODP01SCXN,"ODP | Sample 104-642B-9H-3 (98-100 cm.) | Individual Sample | Janus sample_id: 512079 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
488865,IEASH007S,IEASH | 206-P | | Species (sci): Thunnus alalunga; Common name: Albacore | Sample part: Liver | Ash sample | Biogeochemistry,mat:organicmaterial
488905,ODP02HRN1,"ODP | Sample 165-999B-7R-7 (32-33 cm.) | Individual Sample | Janus sample_id: 1144435 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
488924,IEASH00B2,IEASH | 319-P | | Species (sci): Thunnus alalunga; Common name: Albacore | Sample part: Liver | Ash sample | Biogeochemistry,mat:organicmaterial
488964,ODP02HS1I,"ODP | Sample 165-999B-20R-1 (21-23 cm.) | Individual Sample | Janus sample_id: 1145502 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
489006,ODP01SD35,"ODP | Sample 104-642B-9H-7 (44-45 cm.) | Individual Sample | Janus sample_id: 507387 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
489037,ODP01SD5K,"ODP | Sample 104-642B-10H-2 (83-85 cm.) | Individual Sample | sampled in between pmag samples;  Janus sample_id: 510034 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
489054,ODP01SD64,"ODP | Sample 104-642B-10H-2 (52-53 cm.) | Individual Sample | Janus sample_id: 1304620 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
489190,ODP01SDA9,"ODP | Sample 104-642B-10H-5 (99-101 cm.) | Individual Sample | Janus sample_id: 513849 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
489211,ODP02HTWD,"ODP | Sample 165-999B-60R-1 (68-70 cm.) | Individual Sample | Janus sample_id: 1148565 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
489334,IERRR011E,IERRR | CZO0789 | | 15 | mL | DNA Extracts | depth 40-50 cm | SHAL | Susquehanna Shale Hills Critical Zone Observatory (CZO),mat:soil
489345,IERRR013D,IERRR | CZO0860 | | 15 | mL | DNA Extracts | depth 10-20 cm | GARN | Susquehanna Shale Hills Critical Zone Observatory (CZO),mat:soil
489346,ODP01SDF1,"ODP | Sample 104-642B-11H-3 (99-100 cm.) | Individual Sample | Janus sample_id: 494809 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
489348,IERRR013W,IERRR | CZO0879 | | 15 | mL | DNA Extracts | depth 30-40 cm | GARN | Susquehanna Shale Hills Critical Zone Observatory (CZO),mat:soil
489360,IERVTNTI0,IERVT | 167 | | Should be the 1000 ppm N2_ bal He_ but may have been contaminated? | SLAC-SFA | 2019 inundation tracer tests,mat:gas
489367,IESPG0016,IESPG | DD-9 645 | Core Sub-Piece | agenumeric: 24.7-24.7 Ma | geologicage: Oligocene Dark Matrix Porphyry | Latite Porphyry,mat:rock
489391,ODP01QUNK,"ODP | Sample 58-443*-59R-2 (91-97 cm.) | Individual Sample | 94 gm;  Janus sample_id: 1416328 | DSDP Leg 58 | platform: Ship, Glomar Challenger",mat:rockorsediment
489434,MGD0001OF,MGD | mv25-0403-56m | Core | axis of gully--drifted 200m from 55JPC | Focus Site | PNG | VANC25MV | platform: Ship_ Melville,mat:sediment
489493,ODP01QV13,"ODP | Sample 60-453*-52R-2 (94-98 cm.) | Individual Sample | 13 gm;  Janus sample_id: 1457195 | DSDP Leg 60 | platform: Ship, Glomar Challenger",mat:rockorsediment
489522,NHB0059YH,NHB | NMNH 108720 (PET) | | Rock>Ore | Mine | Uris Mine  |  Tsumeb (E.)_ South-West Africa_ South-West Africa | Vanadium ore,mat:rock
489528,NHB005AL5,NHB | NMNH 109068-135 (PET) | | Rock>Metamorphic  |  Locality Key: Candler; Near Stapleton | Quartz-albite-chlorite phyllite,mat:rock
489557,ODP01QV63,"ODP | Sample 60-458*-40R-2 (87-93 cm.) | Individual Sample | 40 gm - slab;  Janus sample_id: 1456539 | DSDP Leg 60 | platform: Ship, Glomar Challenger",mat:rock
489568,ODP01QV70,"ODP | Sample 60-458*-44R-1 (93-98 cm.) | Individual Sample | 42 gm;  Janus sample_id: 1456561 | DSDP Leg 60 | platform: Ship, Glomar Challenger",mat:rockorsediment
489598,ODP01QVA0,"ODP | Sample 60-461A-1R-5 (9-10 cm.) | Individual Sample | pebble;  Janus sample_id: 1420959 | DSDP Leg 60 | platform: Ship, Glomar Challenger",mat:rockorsediment
489620,NHB005EEG,NHB | NMNH 110674-10 (PET) | | Rock>Metamorphic | Island | Puerto Rico Island | Mayaguez Area | Serpentinite with serpentine,mat:rock
489688,ODP01SDPM,"ODP | Sample 104-642B-12H-5 (2-4 cm.) | Individual Sample | sampled in between pmag samples;  Janus sample_id: 510146 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
489709,NHB005QZP,NHB | NMNH 112648-3 (PET) | | Volcano | Soufri̬re St. Vincent  |  Locality Key: Soufriere Of St Vincent | Pottery fragments,mat:otheranthropogenicmaterial
489710,NHB005QZQ,NHB | NMNH 112648-4 (PET) | | Volcano | Soufri̬re St. Vincent  |  Locality Key: Soufriere Of St Vincent | Pottery fragments,mat:otheranthropogenicmaterial
489711,NHB005QZR,NHB | NMNH 112648-5 (PET) | | Volcano | Soufri̬re St. Vincent  |  Locality Key: Soufriere Of St Vincent | Pottery fragments,mat:otheranthropogenicmaterial
489713,NHB005QZT,NHB | NMNH 112648-7 (PET) | | Volcano | Soufri̬re St. Vincent  |  Locality Key: Soufriere Of St Vincent | Pottery fragments,mat:otheranthropogenicmaterial
489736,ODP01QVL0,"ODP | Sample 61-462A-24R-1 (130-132 cm.) | Individual Sample | Janus sample_id: 1638927 | DSDP Leg 61 | platform: Ship, Glomar Challenger",mat:rockorsediment
489758,NHB005UX9,NHB | NMNH 113552-161 (PET) | | Mining District | Marquette Iron Range  |  Locality Key: Marquette Iron Range | Unidentified,mat:material
489821,ODP01QVQX,"ODP | Sample 61-462A-78R-2 (113-115 cm.) | Individual Sample | Janus sample_id: 1639108 | DSDP Leg 61 | platform: Ship, Glomar Challenger",mat:rockorsediment
489852,ODP01SDUN,"ODP | Sample 104-642B-13H-3 (124-126 cm.) | Individual Sample | Janus sample_id: 494983 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
489983,NHB00627Y,NHB | NMNH 114307 (PET) | | Rock>Igneous | Volcano | Karkar | 300 M S Of S Rim Of Explosion Crater On Caldera Floor | Tephra,mat:rockorsediment
490024,NHB006CGD,NHB | NMNH 116015-9 (PET) | | Rock>Metamorphic  |  Cinovec_ Czechoslovakia_ Czechoslovakia | Greisen with potassium feldspar,mat:rock
490035,NHB006EDZ,NHB | NMNH 116098-8 (PET) | | Rock>Igneous | Volcano | Kilauea  |  Mauna Ulu. 1+ Km S. Of Base Of Holei Pali | Glassy basalt,mat:rock
490035,ODP01QW4E,"ODP | Sample 62-463*-33R-2 (129-131 cm.) | Individual Sample | Janus sample_id: 1399089 | DSDP Leg 62 | platform: Ship, Glomar Challenger",mat:rockorsediment
490103,ODP01QW8M,"ODP | Sample 62-463*-58R-3 (126-129 cm.) | Individual Sample | Janus sample_id: 1510971 | DSDP Leg 62 | platform: Ship, Glomar Challenger",mat:rockorsediment
490136,ODP01SE3R,"ODP | Sample 104-642B-15H-3 (67-71 cm.) | Individual Sample | Janus sample_id: 509774 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
490230,NHB007COW,NHB | NMNH 117763-11 (PET) | | Rock>Sedimentary | geologicage: Neogene > Miocene Cercado | Island | Hispaniola  |  Sandstone,mat:rock
490232,NHB007CT6,NHB | NMNH 117766-17 (PET) | | Rock>Igneous  |  Ponce-Coamo Area_ Salinas Quad._ NE | Andesite with plagioclase and feldspar,mat:rock
490286,ODP01QWKH,"ODP | Sample 62-463*-70R-4 (120-122 cm.) | Individual Sample | Janus sample_id: 1512503 | DSDP Leg 62 | platform: Ship, Glomar Challenger",mat:rockorsediment
490315,NHB007XAY,NHB | NMNH 118224-222 (PET) | | Mineral>Aegirine | Mine | Bayan Obo | Bayan Obo ore deposit | Aegirine with alkali amphibole,mat:mineral
490442,ODP01SEEE,"ODP | Sample 104-642B-18H-1 (114-118 cm.) | Individual Sample | Janus sample_id: 495278 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
490456,ODP01QX02,"ODP | Sample 62-465A-3R-4 (3-8 cm.) | Individual Sample | Janus sample_id: 1316767 | DSDP Leg 62 | platform: Ship, Glomar Challenger",mat:rockorsediment
490488,ODP01QX3G,"ODP | Sample 62-465A-3R-3 (24-26 cm.) | Individual Sample | Janus sample_id: 1390905 | DSDP Leg 62 | platform: Ship, Glomar Challenger",mat:rockorsediment
490512,NHB001B6Z,NHB | NMNH 149006-00 (MIN) | | Mineral>Fluorite | Mine | Malachite Mine  |  Bingham_ Blanchard Claims | Fluorite with baryte,mat:mineral
490560,NHB001M3E,NHB | NMNH 163137-00 (MIN) | | Mineral>Apophyllite | Mine | Centreville Quarry  |  Centreville | Apophyllite with thaumasite,mat:mineral
490560,ODP02HXTZ,"ODP | Sample 165-1002C-5H-1 (46-47 cm.) | Individual Sample | Janus sample_id: 1164136 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
490697,ODP02HY9S,"ODP | Sample 165-1002C-6H-3 (45-46 cm.) | Individual Sample | Janus sample_id: 77207 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
490701,ODP02HYAN,"ODP | Sample 165-1002C-6H-3 (9-11 cm.) | Individual Sample | Janus sample_id: 1165617 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
490741,NHB0045PI,NHB | NMNH 71470 (PET) | Rock>Igneous | Augite andesite | | Mining District | Washoe  |  Sutro Tunnel_ 14_100 Ft. From Mouth,mat:rock
490859,NHB004LHU,NHB | NMNH 88211-468 (PET) | | Mineral>Tremolite  |  1 Mi Sse Of Peak 9814 Ft High; Philipsburg Quad_ Sw Part Of | Tremolite,mat:mineral
490867,NHB004MD1,NHB | NMNH 88295-122 (PET) | | Rock>Ore | Mine | Horn Silver Mine  |  Locality Key: San Francisco | Lead ore with galena ore,mat:rock
491063,ODP02HZQY,"ODP | Sample 165-1002C-12H-8 (50-51 cm.) | Individual Sample | Janus sample_id: 77467 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
491170,NHB003BG4,NHB | NMNH R4909-00 (MIN) | Mineral>Neotocite | Neotocite with wittingite | Individual Sample  |  Wittingi (?)_ Storkyro (?),mat:mineral
491195,ODP01R0S4,"ODP | Sample 73-522A-28H-3 (42.5-42.5 cm.) | Individual Sample | Toothpick sample;  Janus sample_id: 20017074 | DSDP Leg 73 | platform: Ship, Glomar Challenger",mat:sediment
491259,ODP02I1ES,"ODP | Sample 165-1002D-4H-2 (8-9.5 cm.) | Individual Sample | Janus sample_id: 237186 | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
491356,ODP01SF9L,"ODP | Sample 104-642B-25H-4 (8-9 cm.) | Individual Sample | Janus sample_id: 495874 | ODP Leg 104 | platform: Ship, Joides Resolution",mat:rockorsediment
491710,ODP01R251,"ODP | Sample 74-528*-28R-2 (55-58 cm.) | Individual Sample | Janus sample_id: 20014579 | DSDP Leg 74 | platform: Ship, Glomar Challenger",mat:rockorsediment
491797,NHB00100J,NMNH 134123-00 (MIN) | | Mineral>Switzerite | Mine | Foote Mineral Company Spodumene Mine  |  Kings Mtn. (Near) | Switzerite,mat:mineral
491865,ODP01R3OF,"ODP | Sample 76-534A-67R-1 (29-31 cm.) | Individual Sample | Janus sample_id: 20010116 | DSDP Leg 76 | platform: Ship, Glomar Challenger",mat:rockorsediment
491870,ODP02I3BK,"ODP | Sample 166-1003A-3H-1 (65-67 cm.) | Individual Sample | Janus sample_id: 1127608 | ODP Leg 166 | platform: Ship, Joides Resolution",mat:rockorsediment
491900,ODP01R3S3,"ODP | Sample 76-534A-74R-4 (92-93 cm.) | Individual Sample | D;  Janus sample_id: 10018018 | DSDP Leg 76 | platform: Ship, Glomar Challenger",mat:rockorsediment
491939,ODP01R3VV,"ODP | Sample 76-534A-75R-4 (34-35 cm.) | Individual Sample | 3cm  expantion;  Janus sample_id: 20004411 | DSDP Leg 76 | platform: Ship, Glomar Challenger",mat:rockorsediment
492037,NHB004VFT,NMNH 92033-66 (PET) | | Rock>Ore | Mining District | Keweenaw Point  |  Kearsarge Lode | Copper ore with copper and datolite,mat:rock
492107,NHB007SS5,NMNH M27141-00 (MIN) | | Mineral>Englishite | Mine | Little Green Monster Mine  |  Clay Canyon | Englishite with crandallite,mat:mineral
492150,KHR30026D,P5-844-17 | Grab | coral | bank (hydrographic) | Penguin Bank | coral reef fragment | platform: Ship_ R/V Kaimikai-o-Kanaloa,mat:biogenicnonorganicmaterial
492159,ODP02I4GR,"ODP | Sample 166-1003A-13X-2 (94-95 cm.) | Individual Sample | Janus sample_id: 1130077 | ODP Leg 166 | platform: Ship, Joides Resolution",mat:rockorsediment
492189,PRR040436,PRR | PRR-40436 | Rock>Igneous | Volcanic | | [red_ black_ white_ intermediate volcanic_ fine grained] | Whillans Ice Stream,mat:rock
492215,ODP01SM11,"ODP | Sample 105-646A-6H-4 (119-121 cm.) | Individual Sample | Janus sample_id: 519250 | ODP Leg 105 | platform: Ship, Joides Resolution",mat:rockorsediment
492216,ODP02I4JA,"ODP | Sample 166-1003A-14X-1 (98-100 cm.) | Individual Sample | Janus sample_id: 1130210 | ODP Leg 166 | platform: Ship, Joides Resolution",mat:rockorsediment
492271,ODP01R4GG,"ODP | Sample 76-534A-102R-4 (30-31 cm.) | Individual Sample | Janus sample_id: 20004892 | DSDP Leg 76 | platform: Ship, Glomar Challenger",mat:rockorsediment
492295,ODP02I4LT,"ODP | Sample 166-1003A-14X-5 (140-150 cm.) | Individual Sample | ADDED IN MIGRATION;  Janus sample_id: 218275 | ODP Leg 166 | platform: Ship, Joides Resolution",mat:rockorsediment
492417,PRR051777,PRR-51777 | Dredge | 186 | g | Rock>Sedimentary | [sub-angular_ black siltstone/mudstone with black Mn coating?] | Siltstone,mat:rock
492458,ODP01SMXT,"ODP | Sample 105-647A-8R-3 (21-26 cm.) | Individual Sample | Janus sample_id: 522272 | ODP Leg 105 | platform: Ship, Joides Resolution",mat:rockorsediment
492464,IEBEG1DFJ,R41645 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well_ API number 425050044300. | depth 351-1753 Ft.,mat:rock
492612,IEBEG1IJG,V15544 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well_ API number 424270205600. | depth 103-3750 Ft.,mat:rock
492633,ODP01R57I,"ODP | Sample 77-540*-31R-2 (77-80 cm.) | Individual Sample | Janus sample_id: 20015293 | DSDP Leg 77 | platform: Ship, Glomar Challenger",mat:rockorsediment
492642,ODP01SNG9,"ODP | Sample 105-647A-20R-2 (125-127 cm.) | Individual Sample | Janus sample_id: 522735 | ODP Leg 105 | platform: Ship, Joides Resolution",mat:rockorsediment
492655,ODP01SNGO,"ODP | Sample 105-647A-20R-3 (115-121 cm.) | Individual Sample | Janus sample_id: 522749 | ODP Leg 105 | platform: Ship, Joides Resolution",mat:rockorsediment
492691,ODP01SNIO,"ODP | Sample 105-647A-21R-3 (16-22 cm.) | Individual Sample | Janus sample_id: 522782 | ODP Leg 105 | platform: Ship, Joides Resolution",mat:rockorsediment
492692,ODP01SNIP,"ODP | Sample 105-647A-21R-3 (82-84 cm.) | Individual Sample | Janus sample_id: 522783 | ODP Leg 105 | platform: Ship, Joides Resolution",mat:rockorsediment
492723,ARF0008NP,ARF | DF79 012 PC 0366-0368 cm | Core Sub-Piece | 8 | cc | depth 366-368 cm | d`Urville Sea_ South Pacific | Deep Freeze 79,mat:sediment
492744,ODP01R5EB,"ODP | Sample 77-540*-68R-1 (93-97 cm.) | Individual Sample | Janus sample_id: 1307294 | DSDP Leg 77 | platform: Ship, Glomar Challenger",mat:rockorsediment
492780,ODP02I515,"ODP | Sample 166-1004A-2H-5 (40-41 cm.) | Individual Sample | Residues to PHIL; Co-listed PHIL/PP;  Janus sample_id: 1162315 | ODP Leg 166 | platform: Ship, Joides Resolution",mat:otheranthropogenicmaterial
492893,ARF0008XE,ARF | DF79 013 PC 0305-0307 cm | Core Sub-Piece | 2 | cc | depth 305-307 cm | d`Urville Sea_ South Pacific | Deep Freeze 79,mat:sediment
492905,ARF0008XT,ARF | DF79 013 PC 0343-0344 cm | Core Sub-Piece | 5 | cc | depth 343-344 cm | d`Urville Sea_ South Pacific | Deep Freeze 79,mat:sediment
492911,ARF0008XZ,ARF | DF79 013 PC 0360-0361 cm | Core Sub-Piece | 5 | cc | depth 360-361 cm | d`Urville Sea_ South Pacific | Deep Freeze 79,mat:sediment
492957,ARF00090I,ARF | DF79 013 PC 0485-0486 cm | Core Sub-Piece | 5 | cc | depth 485-486 cm | d`Urville Sea_ South Pacific | Deep Freeze 79,mat:sediment
493027,ARF00095K,ARF | DF79 019 PC 0287-0289 cm | Core Sub-Piece | 2 | cc | depth 287-289 cm | d`Urville Sea_ South Pacific | Deep Freeze 79,mat:sediment
493042,ARF00095Z,ARF | DF79 019 PC 0414-0415 cm | Core Sub-Piece | 4 | cc | depth 414-415 cm | d`Urville Sea_ South Pacific | Deep Freeze 79,mat:sediment
493082,ARF0009FD,ARF | DF79 037 PC 0200-0202 cm | Core Sub-Piece | 5 | cc | depth 200-202 cm | d`Urville Sea_ South Pacific | Deep Freeze 79,mat:sediment
493103,ARF0009QW,ARF | DF82-076 Grab | Grab | 25 | g | Bottom grab | Antaractic Peninsula | Deep Freeze 1982 | platform: Ship_ USCGC Glacier,mat:sediment
493308,BJO00007U,BJO | ODP 176-735B-137R-2.26 | | Mineral>Zircon | Ridge | SW Indian Ridge | ODP Leg 179 | platform: Ship_ Joides Resolution,mat:mineral
493358,ODP01R6GE,"ODP | Sample 79-545*-47R-1 (110-111 cm.) | Individual Sample | Janus sample_id: 20003504 | DSDP Leg 79 | platform: Ship, Glomar Challenger",mat:rockorsediment
493381,ODP02I5MZ,"ODP | Sample 166-1004A-10H-6 (40-42 cm.) | Individual Sample | Residues to PHIL; Co-listed PHIL/PP;  Janus sample_id: 1162364 | ODP Leg 166 | platform: Ship, Joides Resolution",mat:otheranthropogenicmaterial
493457,DSR0006HU,DSR | RC0012222GS | Grab | Broken manganese nodules_ mostly all crust material. | RC0012 | platform: Ship_ Robert D. Conrad,mat:sediment
493532,ODP01SPUI,"ODP | Sample 105-645B-14X-3 (102-103 cm.) | Individual Sample | Janus sample_id: 516016 | ODP Leg 105 | platform: Ship, Joides Resolution",mat:rockorsediment
493544,DSR000N0E,DSR | RC08-050PC_650cm | Core Piece | 5 | cc | Archive half | depth 650-652 cm | Stable isotope geochemistry for chronology,mat:sediment
493547,DSR000N0I,DSR | RC08-050PC_665cm | Core Piece | 5 | cc | Archive half | depth 665-667 cm | Stable isotope geochemistry for chronology,mat:sediment
493674,GTM00009B,GTM | R109_5_1i | | Mineral>Forsterite | volcano | Rungwe Volcanic Province; Mbeya Mbalizi | SEGMENT TZ FIELD CAMPAIGN 2225,mat:mineral
493850,IEACM00B1,IEACM | DH1 | | I2R. Towthorpe 273 adult male | Duggley Howe | Tooth | Sr-Pb-O isotope analysis of archaeological material.,mat:biogenicnonorganicmaterial
493892,IEAVO0514,IEAVO | NA93-99D | | Half Cone Pink Pumice | volcano | VNum: 312090 | East wall Half Cone | Aniakchak | Tephra Fall_ Pumice,mat:sediment
493893,ODP02I8G0,"ODP | Sample 166-1006A-1H-3 (133-135 cm.) | Individual Sample | Janus sample_id: 1180155 | ODP Leg 166 | platform: Ship, Joides Resolution",mat:rockorsediment
493905,IECCR001K,IECCR | LDGO 85 | Biology>Macrobiology>Coral | Leptoria phrygia | | Scleractinian coral; Head; 3 pieces | RF - T-5 | Anau'u,mat:biogenicnonorganicmaterial
493931,IEEVN0006,IEEVN | 5 PC1 | Core | AT26-04 | platform: Ship_ Atlantis II | launch: Jason II_ 2 | J2-719 | interstitial water extraction,mat:sediment
494217,ODP02I9WX,"ODP | Sample 166-1006A-8H-7 (19-21 cm.) | Individual Sample | Janus sample_id: 1147150 | ODP Leg 166 | platform: Ship, Joides Resolution",mat:rockorsediment
494313,ODP01T0YQ,"ODP | Sample 107-651A-37R-4 (138-140 cm.) | Individual Sample | Janus sample_id: 122619 | ODP Leg 107 | platform: Ship, Joides Resolution",mat:rockorsediment
494410,ODP02IAM2,"ODP | Sample 166-1006A-13H-2 (70-75 cm.) | Individual Sample | Janus sample_id: 1149043 | ODP Leg 166 | platform: Ship, Joides Resolution",mat:rockorsediment
494437,ODP02IAQ9,"ODP | Sample 166-1006A-14H-1 (139-141 cm.) | Individual Sample | Janus sample_id: 1149128 | ODP Leg 166 | platform: Ship, Joides Resolution",mat:rockorsediment
494438,ODP02IAQD,"ODP | Sample 166-1006A-14H-1 (14-15 cm.) | Individual Sample | Janus sample_id: 1149163 | ODP Leg 166 | platform: Ship, Joides Resolution",mat:rockorsediment
